run,mu_verified,mu_total,single_xp,single_xxp,joint_aes,joint_rand,elapsed_sec
1,1000000,1000000,65569,65715,1,0,694
2,1000000,1000000,65723,66052,2,0,694
3,1000000,1000000,65564,65244,3,0,694
4,1000000,1000000,64893,66221,3,0,693
5,1000000,1000000,65120,64846,1,0,695
6,1000000,1000000,66375,65555,2,0,694
7,1000000,1000000,65962,65310,5,0,695
8,1000000,1000000,65984,65287,4,0,705
9,1000000,1000000,65950,65100,3,0,695
10,1000000,1000000,65687,66226,0,0,695
11,1000000,1000000,66319,66221,5,0,694
12,1000000,1000000,65726,65808,2,0,695
13,1000000,1000000,65029,64774,3,0,694
14,1000000,1000000,65536,65491,2,0,695
15,1000000,1000000,65059,65729,4,0,694
16,1000000,1000000,65498,65159,5,0,693
17,1000000,1000000,65587,65969,4,0,695
18,1000000,1000000,65291,65738,4,0,693
19,1000000,1000000,65322,65469,4,0,694
20,1000000,1000000,65871,65174,5,0,694
21,1000000,1000000,65266,64745,5,0,694
22,1000000,1000000,65146,66075,3,0,694
23,1000000,1000000,65546,65699,1,0,693
24,1000000,1000000,65058,65562,2,0,694
25,1000000,1000000,66278,64886,3,0,694
26,1000000,1000000,65341,65726,1,0,694
27,1000000,1000000,65789,64834,1,0,694
28,1000000,1000000,65790,65320,1,0,695
29,1000000,1000000,65759,65311,2,0,694
30,1000000,1000000,65498,65228,2,0,694
31,1000000,1000000,66308,66136,4,0,694
32,1000000,1000000,64973,65352,6,0,694
33,1000000,1000000,65127,65143,2,0,694
34,1000000,1000000,65706,65204,3,0,694
35,1000000,1000000,65533,65433,2,0,694
36,1000000,1000000,64908,65205,1,0,694
37,1000000,1000000,65895,66445,2,0,694
38,1000000,1000000,66426,66070,1,0,695
39,1000000,1000000,65321,65378,3,0,694
40,1000000,1000000,65050,65320,2,0,693
41,1000000,1000000,65968,65050,4,0,695
42,1000000,1000000,65341,65957,3,0,693
43,1000000,1000000,66159,65322,4,0,694
44,1000000,1000000,65095,65701,5,0,694
45,1000000,1000000,65132,66400,1,0,695
46,1000000,1000000,66238,66117,1,0,694
47,1000000,1000000,65573,64807,1,0,694
48,1000000,1000000,65115,66005,2,0,694
49,1000000,1000000,65180,65610,4,0,694
50,1000000,1000000,65691,65115,0,0,694
51,1000000,1000000,65373,65889,3,0,694
52,1000000,1000000,64756,65701,1,0,694
53,1000000,1000000,66281,64865,6,0,694
54,1000000,1000000,66282,66072,5,0,694
55,1000000,1000000,66683,65696,2,0,694
56,1000000,1000000,65140,64973,3,0,694
57,1000000,1000000,65664,66159,3,0,694
58,1000000,1000000,65922,65331,1,0,694
59,1000000,1000000,65852,66115,3,0,693
60,1000000,1000000,65483,65334,3,0,694
61,1000000,1000000,65027,65307,2,0,694
62,1000000,1000000,65275,65323,4,0,693
63,1000000,1000000,65104,65795,2,0,694
64,1000000,1000000,65470,65260,3,0,695
65,1000000,1000000,64748,66039,4,0,693
66,1000000,1000000,65690,64906,0,0,694
67,1000000,1000000,65273,65326,3,0,694
68,1000000,1000000,66336,65703,1,0,694
69,1000000,1000000,65307,65768,4,0,694
70,1000000,1000000,65537,65805,5,0,694
71,1000000,1000000,65582,65349,2,0,694
72,1000000,1000000,65937,65337,3,0,693
73,1000000,1000000,65686,65192,4,0,694
74,1000000,1000000,66084,65551,2,0,695
75,1000000,1000000,65416,65084,1,0,694
76,1000000,1000000,65471,65873,2,0,694
77,1000000,1000000,65462,65424,4,0,694
78,1000000,1000000,65752,65333,2,0,694
79,1000000,1000000,65293,65149,4,0,695
80,1000000,1000000,66154,65793,6,0,694
81,1000000,1000000,65403,65193,2,0,694
82,1000000,1000000,65571,65204,2,0,694
83,1000000,1000000,65698,65337,5,0,694
84,1000000,1000000,66037,66333,2,0,694
85,1000000,1000000,65959,65165,4,0,694
86,1000000,1000000,65222,65859,5,0,695
87,1000000,1000000,65753,65933,5,0,694
88,1000000,1000000,65286,64772,4,0,694
89,1000000,1000000,65777,65071,2,0,694
90,1000000,1000000,65897,65574,7,0,693
91,1000000,1000000,65689,65430,2,0,694
92,1000000,1000000,65638,64534,2,0,694
93,1000000,1000000,66219,65246,2,0,695
94,1000000,1000000,65377,65753,1,0,694
95,1000000,1000000,65608,65681,3,0,694
96,1000000,1000000,64952,65350,4,0,694
97,1000000,1000000,66172,65414,3,0,694
98,1000000,1000000,65470,65342,3,0,694
99,1000000,1000000,65550,65662,0,0,694
100,1000000,1000000,65251,64859,6,0,694
